partnumber,link1,link2,link3,link4,link5
SER201-202MLD,https://www.mouser.com/ProductDetail/Coilcraft/SER2010-202MLD?qs=zCSbvcPd3pYsDzYLktC6iQ%3D%3D&srsltid=AfmBOooDndfuxyaGDwhf4wl6zwb9_zaWhUur75X7RNbMyydO2bBCp-kF,https://www.coilcraft.com/en-us/products/power/shielded-inductors/high-current-flat-wire/ser/ser20xx/ser2010-202/?srsltid=AfmBOoq_akyRGy27etsdWdSrdnTk5RHbwiDGYMbEtY5aW3CSQpw3UAS2,https://www.digikey.com/en/products/detail/coilcraft/SER2010-202MLD/21380888,https://www.digikey.com/en/products/detail/coilcraft/SER2011-202MLD/21381544,https://kaimte.com/product/details/coilcraft/ser2010-202mld.html?srsltid=AfmBOorzrBSjIgb7ceDyYLWgSEt30bV2gTuQpazNbQK5ZOvI2yUJhIrw
CRCW06030000Z0EA,https://www.digikey.com/en/products/detail/vishay-dale/CRCW06030000Z0EA/1174156,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW06030000Z0EA?qs=uFJqmf%2F3rbbVtxvMdbYUaQ%3D%3D&srsltid=AfmBOoqGSmI9EF_umwEKMC6Dp05K9f1nNa8yZVdPn9OWv-j0fgNMlYrq,https://www.vishay.com/docs/20035/dcrcwe3.pdf,https://www.tti.com/content/ttiinc/en/apps/part-detail.html?partsNumber=CRCW06030000Z0EA&mfgShortname=DAL&srsltid=AfmBOooxI9a6au74kF9EqfsgAfCSaRjGDrMI21iZTkg6pDzsYwH8gbsX,https://www.newark.com/vishay/crcw06030000z0ea/resistor-case-package-0603-1608/dp/25AC7270
CRCW06031100M0JNEA,,,,,
CRCW0603100RFKEA,https://www.digikey.com/en/products/detail/vishay-dale/CRCW0603100RFKEA/1174554,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0603100RFKEA?qs=90AHS1y%2FsidGWjjxZAupKg%3D%3D&srsltid=AfmBOopithMBc-u1JIrGrA0tq6-zPg7N8fspiYfiu78GNl1hzJCQxPcY,https://www.vishay.com/docs/20035/dcrcwe3.pdf,https://www.tti.com/content/ttiinc/en/apps/part-detail.html?partsNumber=CRCW0603100RFKEA&mfgShortname=DAL&srsltid=AfmBOordg9NLI74mK7oYSn-TkPUtJc4pS7CyNvyUCO4y3aYVKylnh7FE,https://us.rs-online.com/product/vishay-dale/crcw0603100rfkea/70201151/?srsltid=AfmBOorLAfai7skr1LXBKVUOwCzkIj3CsY_ZBe3NqPCfGS-UNFlBPjX7
CPF0603B3K01E1,https://www.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/CPF0603B3K01E1?qs=HLeXuo0aL2pLPgWZQJO60g%3D%3D&srsltid=AfmBOooy76mggu7CVf0_fHZLbMtsaULPZHcCi3LMAgiPW3H32mqcpOis,https://www.te.com/en/product-1879224-1.html,https://www.digikey.co.nz/en/products/detail/te-connectivity-passive-product/CPF0603B3K01E1/2382843?srsltid=AfmBOopWb_fvy9PC4aDw_6eNp1aoM56k7GvWyLZrD85C2z2cAa4TV-HQ,https://www.digikey.ca/en/products/detail/te-connectivity-passive-product/CPF0603B3K01E1/2382843,https://www.newark.com/te-connectivity/cpf0603b3k01e1/surface-mount-thin-film-resistor/dp/95W6679
ERJ-3EKF5901V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-3EKF5901V/196389,https://www.mouser.com/ProductDetail/Panasonic/ERJ-3EKF5901V?qs=iBwFsHVUAOfGcuvBcbSACw%3D%3D&srsltid=AfmBOoqyCjPZ4y5z_McSoCUDQPE2iL9T7InTDRP3PtKOT8iYFgXP9JL5,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF5901V,https://octopart.com/erj-3ekf5901v-panasonic-55403665,https://www.onlinecomponents.com/en/productdetail/panasonic/erj3ekf5901v-44462782.html?srsltid=AfmBOopoRz8DJw75bFvK_c4QFlrb7yIhSYk8XNvCn4xNW3VE8-mCcll5
CRCW06031400MFKEA,,,,,
CRCW0603200KFEA,https://www.digikey.com/en/products/detail/vishay-dale/CRCW0603200KFHEAP/5071456,https://www.mouser.es/ProductDetail/Vishay-Dale/CRCW0603200KFKEA?qs=6dqgS%252BKntIB6GoSbFtf6ow%3D%3D&srsltid=AfmBOorrNvM8r0AgkOJwrRbhX1s31aCToZV01CcbDmaAoQNXPTsfCPeA,https://www.netcomponents.com/ch/sitemap/CRCW0603-200KFET-E3.html,,
CRCW0603100KFEA,https://www.digikey.com/en/products/detail/vishay-dale/CRCW0603100KFKEA/1174896,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0603100KFKEA?qs=6dqgS%252BKntICWHMMdIzt5%2FQ%3D%3D&srsltid=AfmBOooaQ96cYjhTp9Ve7HN4cFRwjWw70__PvI8triRi6rzFeEU-2TQ6,https://www.vishay.com/docs/20035/dcrcwe3.pdf,https://www.avnet.com/shop/us/products/vishay/crcw0603100kfkea-3074457345634780037/,https://www.futureelectronics.com/p/passives--resistors--fixed-resistors/crcw0603100kfkea-vishay-6704258
ERJ-3EKF7502V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-3EKF7502V/196471,https://www.mouser.com/ProductDetail/Panasonic/ERJ-3EKF7502V?qs=iBwFsHVUAOf25SYip8CajQ%3D%3D&srsltid=AfmBOopvlzL7T83mpZhfs3M0WjudqZW9B4e5NdU00SQKyVxReOOzarll,https://www.avnet.com/americas/product/panasonic/erj-3ekf7502v/evolve-3885778/,https://mexico.newark.com/en-MX/panasonic/erj-3ekf7502v/res-thick-film-75k-1-0-1w-0603/dp/65T8521?ICID=I-RP-STM7REC-0&srsltid=AfmBOoocgACGU9SXZcPxQxPCWmbaK0ecGcLuEkXgPYzd1HOrISeUCYl2,https://octopart.com/erj-3ekf7502v-panasonic-55421908
