partnumber,link1,link2,link3,link4,link5
SER201-202MLD,https://www.coilcraft.com/en-us/products/power/shielded-inductors/high-current-flat-wire/ser/ser20xx/ser2010-202/?srsltid=AfmBOoo5Dn7LvbVlTtLg9Q4XE3eF3ucIP96cWkM3y2VKb6ORD2C9geuS,https://www.mouser.com/ProductDetail/Coilcraft/SER2012-202MLD?qs=zCSbvcPd3pb%252ByxBZVluBgw%3D%3D&srsltid=AfmBOoom_77cE0WFmJnYWq8AgRQ8t4DLlAX2Z3hglZASAqRu7mDUoDNW,https://www.mouser.com/ProductDetail/Coilcraft/SER2013-202MLB?qs=VJjuEbE9QBNvQEovgRjEzQ%3D%3D&srsltid=AfmBOopv_ROWBWsnbzf68TWUeT2mWWCV0L7qAJNQNAqWa3lahwZExCAK,https://catalog.amibearings.com/item/lindrical-o-d-normal-duty-set-screw-bearing-insert/set-screw-locking-bearing-insert-ser200-series/ser201-8,https://iczoom.com/data/k04-37089254-SER2011-202MLD.html
CRCW06030000Z0EA,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW06030000Z0EA?qs=uFJqmf%2F3rbbVtxvMdbYUaQ%3D%3D&srsltid=AfmBOorhYc2i3lmOmX8bRF5fQKynbfhpLLdpWKV9TedANcWaiL9uQ2g7,https://www.vishay.com/docs/20035/dcrcwe3.pdf,https://datasheet.octopart.com/CRCW06030000Z0EA-Vishay-datasheet-8788789.pdf,https://www.mouser.dk/ProductDetail/Vishay-Dale/CRCW06030000Z0EA?qs=uFJqmf%2F3rbbVtxvMdbYUaQ%3D%3D&srsltid=AfmBOorkK9VuUdk3_MZjEbletVrQw-7eVdPQoijRL6BlI2CvYeaq3ik5,https://www.alldatasheet.com/datasheet-pdf/pdf/529882/VISHAY/CRCW06030000Z0EA.html
CRCW06031100M0JNEA,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW06031M00JNEA?qs=YAISaLHWueHBixh%2FlZ6iFg%3D%3D&srsltid=AfmBOooDhxugGCMql2E3koYnZppIaI8NWt_X5pXl1rIAc0i38ejHsahZ,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW06031M00JNEC?qs=dFaIlcvhQORnis%2FFlgrcCw%3D%3D&srsltid=AfmBOorTpW7Jh6oytiifhIzx5ZMjWaEehqcZXsnz23B3mph_nbCw1Vk8,,,
CRCW0603100RFKEA,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0603100RFKEA?qs=90AHS1y%2FsidGWjjxZAupKg%3D%3D&srsltid=AfmBOoqmVm9rODJZTpxzeEskcomCNvMOIROMgu_-s6SC_wwAe_naMTMl,https://www.vishay.com/docs/20035/dcrcwe3.pdf,https://datasheet.octopart.com/CRCW120610R0FKEA-Vishay-datasheet-16179825.pdf,https://www.alldatasheet.com/datasheet-pdf/pdf/464273/TI1/CRCW0603100RFKEA.html,https://www.easybom.com/p/crcw0603100rfkea-vishay-dale-1882551
CPF0603B3K01E1,https://www.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/CPF0603B3K01E1?qs=HLeXuo0aL2pLPgWZQJO60g%3D%3D&srsltid=AfmBOoq-81Z79bCrY6nzSpXN1GJ7lZvHC8hYU3FQ2oeMOBhehfn8EjuO,https://datasheet.octopart.com/CPF0603B3K01E1-TE-Connectivity-datasheet-179161618.pdf,https://www.lcsc.com/datasheet/lcsc_datasheet_2410121509_TE-Connectivity-CPF0603B3K01E1_C1698319.pdf,https://www.te.com/en/product-1879224-1.html,https://www.pcbelectronics.com/product-detail/1-7695563/cpf0603b3k01e1
ERJ-3EKF5901V,https://www.mouser.com/ProductDetail/Panasonic/ERJ-3EKF5901V?qs=iBwFsHVUAOfGcuvBcbSACw%3D%3D&srsltid=AfmBOorDUMderrJisAuIv-wl2ibijugoRN6zRE6ggj2Amg6wBf76qWP8,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF5901V,https://www.lcsc.com/datasheet/lcsc_datasheet_2410121547_PANASONIC-ERJ3EKF5901V_C403290.pdf,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-3EKF5901V/196389,https://www.alldatasheet.com/datasheet-pdf/pdf/530688/IRF/ERJ-3EKF5901V.html
CRCW06031400MFKEA,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0603140RFKEB?qs=sGAEpiMZZMskC5GgilGuvpxfaTvfnArD&srsltid=AfmBOoq82i-exSCgNHhIRKdfwYAyaaoUxV8czXkglIVXSCBpAK_0c5uK,,,,
CRCW0603200KFEA,https://www.vishay.com/docs/28773/crcwce3.pdf,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0603200KFHTAP?qs=Zz7%252BYVVL6bHwrOJ76%2FJvIw%3D%3D&srsltid=AfmBOopkr4Mdk8s8pQOIK9nxa6X3PrPf6-YGRGSN7OQYxpgz6x06mHxf,https://www.mouser.in/ProductDetail/Vishay/CRCW0603200KFKEA?qs=6dqgS%252BKntIB6GoSbFtf6ow%3D%3D,https://instrumentation.obs.carnegiescience.edu/ccd/parts/DCRCW1206.pdf,
CRCW0603100KFEA,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW0603100KFKEA?qs=6dqgS%252BKntICWHMMdIzt5%2FQ%3D%3D&srsltid=AfmBOop4ppbvpQq6kIxjBT4x8yf2UkBkEm3kPndeIjJTceoNtt8bNAkO,https://www.vishay.com/docs/20035/dcrcwe3.pdf,https://my.mouser.com/ProductDetail/Vishay-Dale/CRCW0603100KFKEA?qs=6dqgS%252BKntICWHMMdIzt5%2FQ%3D%3D&srsltid=AfmBOoq2MJk3-xA_GINLte-ONZz3kCm6UwSg1rPZ4-eQ-OGdiVd3amlf,https://dir.heisener.com/specification-pdf/en/CRCW0603100KFKEA.pdf,https://www.alldatasheet.com/datasheet-pdf/pdf/529876/VISHAY/CRCW0603100KFKEA.html
ERJ-3EKF7502V,https://www.mouser.com/ProductDetail/Panasonic/ERJ-3EKF7502V?qs=iBwFsHVUAOf25SYip8CajQ%3D%3D&srsltid=AfmBOorOBABJIC40i6JXQLaDfUa4SgkXcFL0DbwV9J6_U7v-wmsCl4Mv,https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_PANASONIC-ERJ3EKF7502V_C403347.pdf,https://www.xonelec.com/mpn/panasonic/erj-3ekf7502v,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-3EKF7502V/196471,https://www.snapeda.com/parts/ERJ-3EKF7502V/Panasonic%20Electronic%20Components/view-part/
ERJ-3EKF1001V,https://www.mouser.com/ProductDetail/Panasonic/ERJ-3EKF1001V?qs=H7k1u0Mp9JTM8yQxOuvoDg%3D%3D&srsltid=AfmBOoquog8cXlW6WhMe1PowJGlONvLHts9bI_m6B5H78jubHM86Yy0C,https://eu.mouser.com/ProductDetail/Panasonic/ERJ-3EKF1001V?qs=H7k1u0Mp9JTM8yQxOuvoDg%3D%3D,https://www.allaboutcircuits.com/electronic-components/datasheet/ERJ-3EKF1001V--Panasonic/,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1001V,https://www.alldatasheet.com/datasheet-pdf/view/530188/IRF/ERJ-3EKF1001V.html
ERJ-3EKF1004X,https://www.mouser.com/ProductDetail/Panasonic/ERJ-3EKF1004V?qs=6%252BUraArZVSCwybhfQn7iYg%3D%3D&srsltid=AfmBOopXhZFoKioRa9gZf_Sb2G2-58pU8czRDJ_792UkDSPTE0783UO3,https://www.alldatasheet.com/view.jsp?Searchword=ERJ-3EKF100&sField=2,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-3EKF1004V/196033,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/UserGuides/50002262A.pdf,https://www.mouser.com/ds/2/146/SP6691_EBM-195688.pdf?srsltid=AfmBOopE6l5WrCRQ78pJX_EbNtbDz5XARZhH2nW4d5fNUGo2jkdnP2KO
ERJ-3EKF1003Y,https://www.mouser.com/ProductDetail/Panasonic/ERJ-3EKF1003V?qs=H7k1u0Mp9JSqh2R2gj46DA%3D%3D&srsltid=AfmBOor3oeyZa6WsOJDu1DdcjT8HXFerba8VRV3McP0xFBKOyS_CJJnC,https://www.digikey.cn/en/products/detail/panasonic-electronic-components/ERJ-3EKF1003V/196075,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1003V,https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-3EKF1003V/196075,https://sg.digi-electronics.com/sg/products/detail/panasonic/ERJ3EKF1003V/7990445.html
CRCW04022R20JNED,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW04022R20JNED?qs=hD42E%2F8yzjpgb2RLcVLSZw%3D%3D&srsltid=AfmBOop82GsHTSfbLQSs6MYH4DOg1aAUXDIHLH60_dv8dObymbVy2Vwm,https://www.lcsc.com/datasheet/lcsc_datasheet_2410121908_Vishay-Intertech-CRCW04022R20JNED_C482140.pdf,https://www.mouser.co.uk/ProductDetail/71-CRCW0402J-2.2-E3?srsltid=AfmBOooxOYNEu5PqrdAGL0Kwu5kErGQv4MJj3znO0aecMmfJz_PrmtOe,https://cn.elcodis.com/parts/1460657/CRCW04022R20JNED.html,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_vishay-intertech-crcw04022r20jned_C482140.html
WSLP25121L500FEA,https://www.mouser.com/ProductDetail/Vishay-Dale/WSLP25121L500FEA?qs=2spUtbtSOvhF%252B7YGJZajjw%3D%3D&srsltid=AfmBOor8bgvEX9VCYMkWhUmcNi6d3alTTX9KlWeGriPrjaS8qDe2Sj14,https://www.vishay.com/docs/30122/wslp.pdf,https://www.tti.com/content/ttiinc/en/apps/part-detail.html?partsNumber=WSLP25121L500FEA&mfgShortname=DAL&srsltid=AfmBOoo8JY2VkGmX8Ww3KRXiib6Gm-tJTY_xa8VJSMB-3c4vUVp8F92N,https://www.rxelectronics.sg/datasheet/8a/wsl2512l5000fea18.pdf,https://www.digikey.in/en/products/detail/vishay-dale/WSLP25121L500FEA/9758415
2512,https://www.reginfo.gov/public/do/DownloadDocument?objectID=48607501,https://form-fda-2512.pdffiller.com/,https://www.esd.whs.mil/Portals/54/Documents/DD/forms/dd/dd2512.pdf,https://www.wavelighting.com/wp-content/uploads/2021/10/2512.pdf,https://www.mouser.com/datasheet/2/28/page70_2512-3359695.pdf?srsltid=AfmBOorEEKrZK_3KlKb5flQmKxf4emcLOgTJPDWNY0Hg1vBMr75wUV-l
